,ID,Tweet,Sentiment
670935,2246713398,"@TheRealScarab PA system bugs are a bummer, sorry.  ",0
649589,2237331866,"oh daaamnnn! the firemen ball's on the 14th and i'll still be in Cannes  So many handsome men united 2gether, and i miss it! *out tonite*",0
2028,1468288564,"I don't want to be cold in April, but I am ",0
669856,2246385590,@JaredOngie haha its too cold down here  bt other than that im quite fine.. jst extremely bored  wht are your plans for the day?,0
458897,2072038618,Upset I can't find my CHI! ,0
467827,2175864503,Studying Spain for exam on friday  what for ???,0
461306,2174416224,Wow had a great weekend! I'm sooooooo tired now!! Time to go nite nite ,0
373604,2051046596,On the way J's house w/ M. And I haven't ate anything ,0
316428,2002403757,I so need to get at least 4 miles in today.This Chicago doom and gloom weather is not motivating at all! ,0
97226,1792893184,@neospace Too sad for this kind of war ,0
243277,1981508907,I still feel terrible.. ,0
395074,2055790938,"Another huge storm flooded our garden, fucked with the flowers, &amp; made our stones all dirty. ",0
434068,2065102348,has finished uni! It sucks and i'd like to do it all again please! ,0
133420,1835998339,My twitterberry is bummy! ,0
727661,2262874868,i dont have reception  and leo is right here watching tv........awwwww lito im sorry i told u its scary,0
48151,1677802122,"@HeatherBestel oh so you all tweet from the same computer. family bonding lol  Tea, I just can't like any hot drinks  ...",0
217027,1975840432,susan boyle lost  on a brighter note - i just bought a ping pong table!,0
75474,1695190901,down in the dumps today ,0
470742,2176481504,"wants the meds to kick in, knock me out and stop crying ",0
760700,2296909635,"been on a tweet break the last few days but i'm back now...taming the beast most call hair, ugh! ",0
138038,1880462870,"worse week EVER. on monday, we nearly lost volleyball, tuesday a bird SHITTED on me. wednesday itunes deleted all my music. ",0
433667,2065013164,crap i totaly forgot about last nights beta of 1 vs 100 on LIVE ,0
149943,1883579194,@ph115 (((PH))) What am I going to do with myself now???   ,0
771986,2302607528,@Chrissyjohnson I will tell Jackie. I can't go to the fair tomm. though. I have work 3-11.  what about sunday night?,0
747153,2283468131,@ChristaEpiphany oh crap!! I feel sorry 4 u. ,0
404856,2058525661,@Roisinluvshorse the gay porn site isnt following me no more ... ,0
332369,2013012201,hate hotel rooms! ,0
676814,2248507431,@ryanisabadass i would be sad if you deleted your MySpace.  lol,0
360793,2046541552,@SaraJChipps Same with the Blue Jays!!! ,0
265689,1988846639,"tired, but i have sooo much to do! ",0
756500,2288753260,"has to have a root canal tomorrow, then a crown and a few weeks later, have a wisdom tooth pulled ",0
342774,2015323578,The pups are up. Duck goes home with pops today &amp; Denka goes home with Aunt Kristi ,0
442895,2067405632,"@birutagme yeah, boats are where it's at! except i get sea sick ",0
785041,2324324707,I soo want a Westie puppy... ,0
537946,2198930650,I hate getting my oil changed. I hate saying no to things i know my car needs. But i cant afford it at all. ,0
627968,2231111232,@Owl311  Link doesn't work  ,0
648414,2237022829,@KrystalNichole....Whatever 2 both things u said in the tweet! Lol! U up and ready!!!  U won't get thr til evening tho huh? ,0
793569,2326672005,Going to the dentist this am-I have 2 teeny cavities.  I don't even remember the last time I had cavities. Am NOT looking forward to it!,0
230773,1978814818,"Watched the movie UP! tonight, it was adorable. Didn't get to watch it in 3D though ",0
419266,2061946886,@luvleyladie boo to you! I wish I could have gone  How was it?,0
175021,1964710819,Computer pissing me off. 4 gig ram 2.5ghz Dual core and vista freezes...fuck you microsoft...i want win 7 ,0
251561,1983495895,"@sarahcotter i reallly wanna go back  its agesss till the next one, unless we get a pub invite lolz",0
348894,2016932898,"@tommcfly DUDE, you don't look up in Porto Alegre show. i was thete. danny look, Dougie look. you did't look. i'm sad with you. ",0
532733,2196873287,Has toothache ,0
370013,2050030138,@dgregryc That's my fear too.   I almost got hit by two cars in 5 seconds on the way to the grocery store tonight. Grr!,0
784780,2324256429,can't sleep....hence the tweet at 3:45 in the morning ,0
57977,1685791729,has to find a creative approach for a presentation but nothing yet... ,0
67865,1692560679,"@dolcegrazia been there, felt that.  *hugz* ilu",0
621925,2228994135,"@mArZiPaNshadow : *hug* Poor grbl.... some days are diamonds, and others are a kick to the nads. ",0
511800,2189983659,OMG i missed saying it was my 50th update  Anyway here's the rash: http://bit.ly/9Fzyu,0
637369,2234174835,"Friday's comic is on the way, working on it now. Sorry for the non-midnight update ",0
149054,1883316385,is so pissed that she cant go to the beach todayyy  oh well....partay tonighttt!!!,0
612327,2224920247,@Btica Or Something. There Goona start cuttin back on them pretty soon. I feel for the kids who don't have computers at home ,0
346466,2016166594,"waaaaaaaaaâ€¦. I need help, Iâ€™m having error page message every time I try to follow someone. ",0
671439,2246866009,"Counting down!! I'm getting kindergarten writers block. How is that even POSSIBLE? i was over this 14 years ago, so long ago! I'm so old ",0
704712,2256132193,Just saw a graphic and close up YouTube clip of a Iranian protester bleeding to death ,0
88883,1755079637,At parents church sitting behind a lady with a tamberine who doesn't know tempo!  http://twitpic.com/4x5i1,0
632513,2232694984,My head hurts so bad right now. Dang allergies ,0
266138,1988937455,"@mileycyrus YOU WONNN???? Ayayay congrats!! You deserve it  Im from Indonesia and we have different time. So, I didnt watch you. Sorry ",0
20668,1557122512,can't find a good font to fit the domain name.  http://plurk.com/p/oyk5h,0
355534,2043957801,last day of vacation ,0
176471,1965366307,@karriereKay being sunburnt is horrible ,0
117641,1827676596, Find it yet?,0
567040,2207045708,The beer tower is no more ,0
